DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality
20121204,,,,,,,,,,,2628.0,191.276001424,3794.0,1020.0,0.0,4699.0,1.0,762.0,,,,,,,,,,1.0,30.0,,,,,,,,,
20121205,,,,,,,,,,,4372.0,403.238997236,7292.0,1560.0,6420.0,7828.0,0.0,0.0,,,,,,,,,,1.0,40.0,60.0,3651.0,563.0,4.0,43.0,11395.0,27768.0,16373.0,84.0
20121206,,,,,,,,,,,4224.0,413.621000409,7255.0,662.0,3840.0,7749.0,0.0,0.0,,,,,,,,,,,,50.0,4990.0,538.0,5.0,33.0,12817.0,25574.0,12757.0,81.0
20121207,0.0,700.0,66.0,230.0,0.0,11.0,25.0,490.0,57.0,0.0,6675.0,631.884999938,11282.0,961.0,5280.0,12080.0,0.0,0.0,,,,,,,,,,,,72.0,2582.0,541.0,2.0,51.0,9900.0,27006.0,17106.0,79.0
20121208,,,,,,,,,,,27561.0,2272.87873602,17297.0,1225.0,1200.0,18506.0,2.0,22524.0,,,,,,,,,,,,110.0,2397.0,438.0,2.0,88.0,12360.0,18812.0,6452.0,67.0
20121209,,,,,,,,,,,23415.0,1946.23339366,14704.0,781.0,4620.0,15706.0,2.0,19598.0,,,,,,,,,,,,1338.0,4703.0,432.0,5.0,1322.0,12869.0,28355.0,15486.0,92.0
20121210,,,,,,,,,,,7219.0,693.501999669,12126.0,1257.0,2580.0,13072.0,0.0,0.0,,,,,,,,,,,,1376.0,1951.0,480.0,1.0,1355.0,13681.0,32220.0,18539.0,100.0
20121211,,,,,,,,,,,1948.0,175.139999971,3188.0,1740.0,0.0,3431.0,0.0,0.0,,,,,,,,,,,,4.0,2534.0,377.0,3.0,1422.0,12072.0,21395.0,9323.0,74.0
20121212,,,,,,,,,,,4623.0,445.918999687,7985.0,484.0,3480.0,8520.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20121213,,,,,,,,,,,14775.0,1286.26800101,24093.0,5586.0,2220.0,25809.0,0.0,0.0,,,,,,,,,,,,1396.0,2966.0,543.0,3.0,1378.0,12996.0,33391.0,20395.0,100.0
20121214,,,,,,,,,,,3500.0,323.400001049,5779.0,806.0,4980.0,6264.0,0.0,0.0,,,,,,,,,,1.0,50.0,18.0,744.0,502.0,0.0,7.0,9000.0,28980.0,19980.0,85.0
20121215,,,,,,,,,,,6959.0,599.353999794,11221.0,1991.0,5220.0,12115.0,0.0,0.0,,,,,,,,,,,,45.0,1811.0,564.0,1.0,24.0,14240.0,30739.0,16499.0,96.0
20121216,,,,,,,,,,,5025.0,424.080002174,7942.0,2110.0,6600.0,8537.0,1.0,1924.0,,,,,,,,,,,,50.0,1761.0,504.0,2.0,39.0,9300.0,26228.0,16928.0,77.0
20121217,,,,,,,,,,,10243.0,902.974000454,16779.0,7148.0,2340.0,18055.0,0.0,0.0,,,,,,,,,,,,1421.0,1810.0,470.0,1.0,1400.0,9120.0,28991.0,19871.0,85.0
20121218,,,,,,,,,,,4360.0,386.411999263,7076.0,684.0,4680.0,7639.0,0.0,0.0,,,,,,,,,,,,26.0,1018.0,500.0,0.0,10.0,10379.0,28523.0,18144.0,86.0
20121219,,,,,,,,,,,3834.0,368.548001163,6531.0,864.0,6420.0,6989.0,0.0,0.0,,,,,,,,,,,,71.0,2332.0,640.0,1.0,60.0,17434.0,32654.0,15220.0,100.0
